capdate,area,location,code,recap,species,Age,sex,repro,mass,faavg,bci
26/05/2008,Grand.Rapids,Firecamp,0006D0EF53,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0F12A,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0F262,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0F2D9,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0F43C,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0F529,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0F585,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0F6DB,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0F713,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0F72C,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0F7EA,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D175C7,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D17627,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D176EC,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D178FD,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D17DB7,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D17E39,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D180BB,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D1813E,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D1891F,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D18A2A,N,MYLU,NA,F,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D18CCE,N,MYLU,NA,M,NA,NA,NA,NA
